title,review,homepage,discount,original_price,publish_date,image
Dragon Cliff,"Very Positive<br>85% of the 1,135 user reviews for this game are positive.",https://store.steampowered.com/app/758190/Dragon_Cliff/?snr=1_7_7_204_150_2,-51%,¥ 35,"11 May, 2018",https://media.st.dl.bscstorage.net/steam/apps/758190/capsule_sm_120.jpg?t=1547554811
Trine 2: Complete Story,"Overwhelmingly Positive<br>95% of the 11,243 user reviews for this game are positive.",https://store.steampowered.com/app/35720/Trine_2_Complete_Story/?snr=1_7_7_204_150_2,-85%,¥ 68,"7 Dec, 2011",https://media.st.dl.bscstorage.net/steam/apps/35720/capsule_sm_120.jpg?t=1547125826
Driftland: The Magic Revival,Very Positive<br>83% of the 362 user reviews for this game are positive.,https://store.steampowered.com/app/718650/Driftland_The_Magic_Revival/?snr=1_7_7_204_150_2,-20%,¥ 70,"29 Nov, 2017",https://media.st.dl.bscstorage.net/steam/apps/718650/capsule_sm_120.jpg?t=1545569251
LARA CROFT AND THE TEMPLE OF OSIRIS™,Mixed<br>59% of the 640 user reviews for this game are positive.,https://store.steampowered.com/app/289690/LARA_CROFT_AND_THE_TEMPLE_OF_OSIRIS/?snr=1_7_7_204_150_2,-85%,¥ 68,"8 Dec, 2014",https://media.st.dl.bscstorage.net/steam/apps/289690/capsule_sm_120.jpg?t=1506594347
Supreme Commander 2,"Very Positive<br>84% of the 3,428 user reviews for this game are positive.",https://store.steampowered.com/app/40100/Supreme_Commander_2/?snr=1_7_7_204_150_2,-76%,¥ 45,"2 Mar, 2010",https://media.st.dl.bscstorage.net/steam/apps/40100/capsule_sm_120.jpg?t=1547342951
Touhou: Scarlet Curiosity | 東方紅輝心,Very Positive<br>93% of the 366 user reviews for this game are positive.,https://store.steampowered.com/app/845880/Touhou_Scarlet_Curiosity/?snr=1_7_7_204_150_2,-40%,¥ 50,"11 Jul, 2018",https://media.st.dl.bscstorage.net/steam/apps/845880/capsule_sm_120.jpg?t=1547582308
100% Orange Juice,"Very Positive<br>94% of the 6,698 user reviews for this game are positive.",https://store.steampowered.com/app/282800/100_Orange_Juice/?snr=1_7_7_204_150_2,-75%,¥ 28,"16 May, 2014",https://media.st.dl.bscstorage.net/steam/apps/282800/capsule_sm_120.jpg?t=1544816290
Ultimate Fishing Simulator,Very Positive<br>83% of the 998 user reviews for this game are positive.,https://store.steampowered.com/app/468920/Ultimate_Fishing_Simulator/?snr=1_7_7_204_150_2,-34%,¥ 68,"30 Aug, 2018",https://media.st.dl.bscstorage.net/steam/apps/468920/capsule_sm_120.jpg?t=1547581340
Lara Croft and the Guardian of Light,"Very Positive<br>92% of the 1,912 user reviews for this game are positive.",https://store.steampowered.com/app/35130/Lara_Croft_and_the_Guardian_of_Light/?snr=1_7_7_204_150_3,-86%,¥ 36,"28 Sep, 2010",https://media.st.dl.bscstorage.net/steam/apps/35130/capsule_sm_120.jpg?t=1447353139
Farm Manager 2018,"Mixed<br>66% of the 1,070 user reviews for this game are positive.",https://store.steampowered.com/app/495560/Farm_Manager_2018/?snr=1_7_7_204_150_3,-56%,¥ 70,"6 Apr, 2018",https://media.st.dl.bscstorage.net/steam/apps/495560/capsule_sm_120.jpg?t=1544166961
